wl_nm,b,g,r,re,nir
704,0.00040,0.00987,0.00117,0.01272,0.00025
705,0.00031,0.00823,0.00091,0.01750,0.00040
706,0.00041,0.00673,0.00091,0.02262,0.00029
707,0.00053,0.00611,0.00069,0.03256,0.00031
708,0.00082,0.00553,0.00060,0.04508,0.00038
709,0.00103,0.00383,0.00083,0.07124,0.00031
710,0.00101,0.00373,0.00087,0.10523,0.00034
711,0.00086,0.00284,0.00079,0.19541,0.00025
712,0.00093,0.00258,0.00064,0.36016,0.00025
713,0.00094,0.00237,0.00077,0.50637,0.00027
714,0.00112,0.00284,0.00076,0.71247,0.00042
715,0.00091,0.00251,0.00135,0.79428,0.00047
716,0.00074,0.00209,0.00080,0.84895,0.00053
717,0.00100,0.00207,0.00111,0.85291,0.00047
718,0.00080,0.00185,0.00085,0.85574,0.00040
719,0.00082,0.00237,0.00071,0.85968,0.00039
720,0.00092,0.00279,0.00090,0.84724,0.00043
721,0.00103,0.00263,0.00112,0.79058,0.00049
722,0.00093,0.00238,0.00098,0.69496,0.00038
723,0.00076,0.00306,0.00094,0.47531,0.00040
724,0.00079,0.00356,0.00081,0.32106,0.00054
725,0.00047,0.00289,0.00115,0.15074,0.00037
726,0.00030,0.00386,0.00094,0.06709,0.00032
727,0.00030,0.00452,0.00088,0.03961,0.00043
728,0.00047,0.00458,0.00109,0.02154,0.00031
729,0.00057,0.00575,0.00131,0.01468,0.00104
730,0.00041,0.00679,0.00076,0.00759,0.00065
731,0.00058,0.00762,0.00103,0.00582,0.00043
732,0.00078,0.00763,0.00119,0.00527,0.00055
733,0.00031,0.00716,0.00129,0.00492,0.00041
734,0.00028,0.00638,0.00094,0.00562,0.00031
735,0.00041,0.00639,0.00073,0.00464,0.00040
736,0.00034,0.00661,0.00031,0.00430,0.00044
737,0.00056,0.00617,0.00042,0.00321,0.00047
738,0.00018,0.00600,0.00060,0.00437,0.00051
739,0.00033,0.00534,0.00041,0.00393,0.00040
740,0.00035,0.00443,0.00103,0.00210,0.00040
741,0.00044,0.00499,0.00096,0.00194,0.00049
742,0.00037,0.00520,0.00063,0.00270,0.00047
743,0.00014,0.00519,0.00092,0.00187,0.00074
744,0.00044,0.00532,0.00119,0.00281,0.00071
745,0.00034,0.00622,0.00099,0.00273,0.00061
746,0.00034,0.00789,0.00062,0.00267,0.00047
747,0.00044,0.00850,0.00074,0.00233,0.00052
748,0.00037,0.01056,0.00063,0.00224,0.00051
749,0.00064,0.01432,0.00084,0.00237,0.00039
750,0.00047,0.01882,0.00121,0.00301,0.00041
751,0.00040,0.02140,0.00091,0.00252,0.00064
752,0.00014,0.02199,0.00122,0.00347,0.00055
753,0.00047,0.01890,0.00098,0.00288,0.00063
754,0.00028,0.01347,0.00045,0.00385,0.00046
755,0.00035,0.00959,0.00091,0.00275,0.00065
756,0.00035,0.00796,0.00105,0.00255,0.00069
757,0.00050,0.00581,0.00125,0.00226,0.00062
758,0.00303,0.00739,0.00291,0.00470,0.00286
759,0.00098,0.00451,0.00155,0.00264,0.00125
760,0.00036,0.00313,0.00157,0.00179,0.00082
761,0.00024,0.00265,0.00104,0.00296,0.00071
762,0.00034,0.00237,0.00152,0.00378,0.00087
763,0.00031,0.00228,0.00134,0.00429,0.00079
764,0.00027,0.00173,0.00143,0.00434,0.00081
765,0.00031,0.00199,0.00103,0.00294,0.00094
766,0.00053,0.00232,0.00087,0.00420,0.00079
767,0.00039,0.00227,0.00076,0.00351,0.00069
768,0.00051,0.00191,0.00122,0.00232,0.00106
769,0.00050,0.00171,0.00096,0.00396,0.00124
770,0.00057,0.00157,0.00111,0.00251,0.00111
771,0.00065,0.00149,0.00129,0.00291,0.00129
